GAME_ID,Matchup,Home,Away,Home_Score,Away_Score,Final_Score,Point_Diff,GAME_DATE
0022500001,HOU @ OKC,OKC,HOU,125,124,HOU @ OKC: 124 - 125,1,2025-10-21
0022500083,BOS vs. PHI,BOS,PHI,116,117,PHI @ BOS: 117 - 116,1,2025-10-22
0022500088,SAC @ PHX,PHX,SAC,120,116,SAC @ PHX: 116 - 120,4,2025-10-22
0022500089,MIN @ POR,POR,MIN,114,118,MIN @ POR: 118 - 114,4,2025-10-22
0022500081,MIA @ ORL,ORL,MIA,125,121,MIA @ ORL: 121 - 125,4,2025-10-22
0022500084,CHI vs. DET,CHI,DET,115,111,DET @ CHI: 111 - 115,4,2025-10-22
0022500090,ATL @ ORL,ORL,ATL,107,111,ATL @ ORL: 111 - 107,4,2025-10-24
0022500098,SAC vs. UTA,SAC,UTA,105,104,UTA @ SAC: 104 - 105,1,2025-10-24
0022500095,NOP vs. SAS,NOP,SAS,116,120,SAS @ NOP: 120 - 116,4,2025-10-24
0022500093,DET @ HOU,HOU,DET,111,115,DET @ HOU: 115 - 111,4,2025-10-24
0022500102,CHA @ PHI,PHI,CHA,125,121,CHA @ PHI: 121 - 125,4,2025-10-25
0022500110,IND @ MIN,MIN,IND,114,110,IND @ MIN: 110 - 114,4,2025-10-26
0022500107,CLE vs. MIL,CLE,MIL,118,113,MIL @ CLE: 113 - 118,5,2025-10-26
