GAME_ID,Matchup,Home,Away,Home_Score,Away_Score,Final_Score,Point_Diff,GAME_DATE
0022500001,HOU @ OKC,OKC,HOU,125,124,HOU @ OKC: 124 - 125,1,2025-10-21
0022500002,GSW @ LAL,LAL,GSW,109,119,GSW @ LAL: 119 - 109,10,2025-10-21
0022500083,BOS vs. PHI,BOS,PHI,116,117,PHI @ BOS: 117 - 116,1,2025-10-22
0022500004,DAL vs. SAS,DAL,SAS,92,125,SAS @ DAL: 125 - 92,33,2025-10-22
0022500088,SAC @ PHX,PHX,SAC,120,116,SAC @ PHX: 116 - 120,4,2025-10-22
0022500089,MIN @ POR,POR,MIN,114,118,MIN @ POR: 118 - 114,4,2025-10-22
0022500085,NOP @ MEM,MEM,NOP,128,122,NOP @ MEM: 122 - 128,6,2025-10-22
0022500087,UTA vs. LAC,UTA,LAC,129,108,LAC @ UTA: 108 - 129,21,2025-10-22
0022500086,WAS @ MIL,MIL,WAS,133,120,WAS @ MIL: 120 - 133,13,2025-10-22
0022500003,NYK vs. CLE,NYK,CLE,119,111,CLE @ NYK: 111 - 119,8,2025-10-22
0022500080,BKN @ CHA,CHA,BKN,136,117,BKN @ CHA: 117 - 136,19,2025-10-22
0022500081,MIA @ ORL,ORL,MIA,125,121,MIA @ ORL: 121 - 125,4,2025-10-22
0022500082,ATL vs. TOR,ATL,TOR,118,138,TOR @ ATL: 138 - 118,20,2025-10-22
0022500084,CHI vs. DET,CHI,DET,115,111,DET @ CHI: 111 - 115,4,2025-10-22
0022500005,IND vs. OKC,IND,OKC,135,141,OKC @ IND: 141 - 135,6,2025-10-23
0022500006,DEN @ GSW,GSW,DEN,137,131,DEN @ GSW: 131 - 137,6,2025-10-23
0022500090,ATL @ ORL,ORL,ATL,107,111,ATL @ ORL: 111 - 107,4,2025-10-24
0022500092,MIL @ TOR,TOR,MIL,116,122,MIL @ TOR: 122 - 116,6,2025-10-24
0022500098,SAC vs. UTA,SAC,UTA,105,104,UTA @ SAC: 104 - 105,1,2025-10-24
0022500095,NOP vs. SAS,NOP,SAS,116,120,SAS @ NOP: 120 - 116,4,2025-10-24
0022500099,PHX @ LAC,LAC,PHX,129,102,PHX @ LAC: 102 - 129,27,2025-10-24
0022500097,GSW @ POR,POR,GSW,139,119,GSW @ POR: 119 - 139,20,2025-10-24
0022500091,CLE @ BKN,BKN,CLE,124,131,CLE @ BKN: 131 - 124,7,2025-10-24
0022500096,DAL vs. WAS,DAL,WAS,107,117,WAS @ DAL: 117 - 107,10,2025-10-24
0022500093,DET @ HOU,HOU,DET,111,115,DET @ HOU: 115 - 111,4,2025-10-24
0022500094,MEM vs. MIA,MEM,MIA,114,146,MIA @ MEM: 146 - 114,32,2025-10-24
0022500018,BOS @ NYK,NYK,BOS,105,95,BOS @ NYK: 95 - 105,10,2025-10-24
0022500019,MIN @ LAL,LAL,MIN,128,110,MIN @ LAL: 110 - 128,18,2025-10-24
0022500102,CHA @ PHI,PHI,CHA,125,121,CHA @ PHI: 121 - 125,4,2025-10-25
0022500100,CHI @ ORL,ORL,CHI,98,110,CHI @ ORL: 110 - 98,12,2025-10-25
0022500103,MEM vs. IND,MEM,IND,128,103,IND @ MEM: 103 - 128,25,2025-10-25
0022500101,OKC @ ATL,ATL,OKC,100,117,OKC @ ATL: 117 - 100,17,2025-10-25
0022500104,PHX @ DEN,DEN,PHX,133,111,PHX @ DEN: 111 - 133,22,2025-10-25
0022500112,LAC vs. POR,LAC,POR,114,107,POR @ LAC: 107 - 114,7,2025-10-26
0022500113,SAC vs. LAL,SAC,LAL,120,127,LAL @ SAC: 127 - 120,7,2025-10-26
0022500106,DET vs. BOS,DET,BOS,119,113,BOS @ DET: 113 - 119,6,2025-10-26
0022500109,WAS vs. CHA,WAS,CHA,113,139,CHA @ WAS: 139 - 113,26,2025-10-26
0022500111,TOR @ DAL,DAL,TOR,139,129,TOR @ DAL: 129 - 139,10,2025-10-26
0022500110,IND @ MIN,MIN,IND,114,110,IND @ MIN: 110 - 114,4,2025-10-26
0022500107,CLE vs. MIL,CLE,MIL,118,113,MIL @ CLE: 113 - 118,5,2025-10-26
0022500108,NYK @ MIA,MIA,NYK,115,107,NYK @ MIA: 107 - 115,8,2025-10-26
0022500105,BKN @ SAS,SAS,BKN,118,107,BKN @ SAS: 107 - 118,11,2025-10-26
