GAME_ID,Home,Away,Largest_Home_Lead,Largest_Away_Lead,Lead_Changes,Times_Tied,Final_Margin,Winner,Biggest_Comeback,Final_Score
0022500001,OKC,HOU,6,12,22,448,1,Home,12,HOU @ OKC: 124 - 125
0022500083,BOS,PHI,13,8,13,373,-1,Away,13,PHI @ BOS: 117 - 116
0022500088,PHX,SAC,9,20,2,379,4,Home,20,SAC @ PHX: 116 - 120
0022500089,POR,MIN,8,4,17,376,-4,Away,8,MIN @ POR: 118 - 114
0022500081,ORL,MIA,7,12,10,384,4,Home,12,MIA @ ORL: 121 - 125
0022500084,CHI,DET,23,2,2,399,4,Home,2,DET @ CHI: 111 - 115
0022500090,ORL,ATL,14,5,7,390,-4,Away,14,ATL @ ORL: 111 - 107
0022500098,SAC,UTA,8,6,11,353,1,Home,6,UTA @ SAC: 104 - 105
0022500095,NOP,SAS,8,9,15,435,-4,Away,8,SAS @ NOP: 120 - 116
0022500093,HOU,DET,6,9,15,420,-4,Away,6,DET @ HOU: 115 - 111
0022500102,PHI,CHA,12,11,9,382,4,Home,11,CHA @ PHI: 121 - 125
0022500110,MIN,IND,11,5,14,417,4,Home,5,IND @ MIN: 110 - 114
0022500107,CLE,MIL,18,6,3,382,5,Home,6,MIL @ CLE: 113 - 118
